LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
4717615.899159,1566433.909,48758,11,PG,1,100,3622
4717615.908886,1566443.636,48758,11,PG,1,100,3615
4717615.918614,1566453.364,48758,11,PG,1,100,3589
4717615.928341,1566463.091,48758,11,PG,1,100,3644
4717615.938068,1566472.818,48758,11,PG,1,100,3615
4717615.947796,1566482.545,48758,11,PG,1,100,3600
4717615.957523,1566492.273,48758,11,PG,1,100,3601
4717615.967251,1566502.000,48758,11,PG,1,100,3602
4717615.977851,1566512.600,48773,10,PG,1,100,3596
4717615.988451,1566523.200,48773,10,PG,1,100,3600
4717615.999051,1566533.800,48773,10,PG,1,100,3593
4717616.009651,1566544.400,48773,10,PG,1,100,3585
4717616.020251,1566555.000,48773,10,PG,1,100,3601
4717616.030851,1566565.600,48773,10,PG,1,100,3619
4717616.041451,1566576.200,48773,10,PG,1,100,3620
4717616.052051,1566586.800,48773,10,PG,1,100,3591
4717616.062652,1566597.400,48773,10,PG,1,100,3597
4717616.073252,1566608.000,48773,10,PG,1,100,3597
4717616.082652,1566617.400,48792,10,PG,1,100,3598
4717616.092052,1566626.800,48792,10,PG,1,100,3593
4717616.101452,1566636.200,48792,10,PG,1,100,3605
4717616.110852,1566645.600,48792,10,PG,1,100,3596
4717616.120252,1566655.000,48792,10,PG,1,100,3595
4717616.129652,1566664.400,48792,10,PG,1,100,3575
4717616.139052,1566673.800,48792,10,PG,1,100,3599
4717616.148452,1566683.200,48792,10,PG,1,100,3581
4717616.157853,1566692.600,48792,10,PG,1,100,3588
4717616.167253,1566702.000,48792,10,PG,1,100,3576
4717616.177853,1566712.600,48808,10,PG,1,100,3600
4717616.188453,1566723.200,48808,10,PG,1,100,3579
4717616.199053,1566733.800,48808,10,PG,1,100,3630
4717616.209653,1566744.400,48808,10,PG,1,100,3617
4717616.220253,1566755.000,48808,10,PG,1,100,3610
4717616.230853,1566765.600,48808,10,PG,1,100,3580
4717616.241453,1566776.200,48808,10,PG,1,100,3617
4717616.252054,1566786.800,48808,10,PG,1,100,3621
4717616.262654,1566797.400,48808,10,PG,1,100,3607
4717616.273254,1566808.000,48808,10,PG,1,100,3623
4717616.282981,1566817.727,48824,11,PG,1,100,3632
4717616.292709,1566827.455,48824,11,PG,1,100,3613
4717616.302436,1566837.182,48824,11,PG,1,100,3591
4717616.312163,1566846.909,48824,11,PG,1,100,3608
4717616.321891,1566856.636,48824,11,PG,1,100,3584
4717616.331618,1566866.364,48824,11,PG,1,100,3608
4717616.341345,1566876.091,48824,11,PG,1,100,3603
4717616.351073,1566885.818,48824,11,PG,1,100,3614
4717616.360800,1566895.545,48824,11,PG,1,100,3614
4717616.370528,1566905.273,48824,11,PG,1,100,3623
4717616.380255,1566915.000,48824,11,PG,1,100,3639
4717616.390588,1566925.333,48840,9,PG,1,100,3615
4717616.400922,1566935.667,48840,9,PG,1,100,3599
4717616.411255,1566946.000,48840,9,PG,1,100,3617
4717616.421589,1566956.333,48840,9,PG,1,100,3616
4717616.431922,1566966.667,48840,9,PG,1,100,3617
4717616.442256,1566977.000,48840,9,PG,1,100,3632
4717616.452589,1566987.333,48840,9,PG,1,100,3641
4717616.462923,1566997.667,48840,9,PG,1,100,3604
